query02.err,
query02.res,160818
query03.err,
query03.res,18080
query05.err,
query05.res,4
query07.err,
query07.res,20746
query08.err,
query08.res,20744
query09.err,
query09.res,79270
query12.err,
query12.res,20665
query13.err,
query13.res,2547
query15.err,
query15.res,12264
query16.err,
query16.res,647590
query17.err,
query17.res,6646149
query18.err,
query18.res,15
query19.err,
query19.res,14092
query20.err,
query20.res,4674
query21.err,
query21.res,159387
query22.err,
query22.res,331
query23.err,
query23.res,6802015
5518218
query24.err,
query24.res,210871
13180
query25.err,
query25.res,553529
query26.err,
query26.res,11804
query27.err,
query27.res,1
query28.err,
query28.res,59991
query29.err,
query29.res,4322780
query30.err,
query30.res,2635751
query31.err,
query31.res,1140318
query32.err,
query32.res,5237
query33.err,
query33.res,14412
query36.err,
query36.res,80
query37.err,
query37.res,7150
query38.err,
query38.res,360058
query39.err,
query39.res,1442417
1358686
query40.err,
query40.res,21580
query41.err,
query41.res,80340
query42.err,
query42.res,7784
query43.err,
query43.res,11352
query44.err,
query44.res,22552
query45.err,
query45.res,4372
query46.err,
query46.res,12211
query47.err,
query47.res,4455456
query48.err,
query48.res,315438
query49.err,
query49.res,366709
query50.err,
query50.res,444463
query51.err,
query51.res,72595
query52.err,
query52.res,5694
query53.err,
query53.res,172322
query54.err,
query54.res,256576
query55.err,
query55.res,5972
query56.err,
query56.res,48804
query57.err,
query57.res,313656
query58.err,
query58.res,12131
query59.err,
query59.res,118767
query60.err,
query60.res,89911
query61.err,
query61.res,162082
query62.err,
query62.res,66825
query63.err,
query63.res,310534
query64.err,
query64.res,202164
query65.err,
query65.res,66530
query66.err,
query66.res,13317
query67.err,
query67.res,51
query68.err,
query68.res,30096
query69.err,
query69.res,116736
query70.err,
query70.res,18
query71.err,
query71.res,21202
query72.err,
query72.res,95
query73.err,
query73.res,5832
query75.err,
query75.res,110714
query76.err,
query76.res,63821
query77.err,
query77.res,2
query78.err,
query78.res,396028
query79.err,
query79.res,107008
query80.err,
query80.res,1
query81.err,
query81.res,11239330
query82.err,
query82.res,2
query83.err,
query83.res,7994
query84.err,
query84.res,20519
query86.err,
query86.res,47
query87.err,
query87.res,385962
query88.err,
query88.res,76720
query89.err,
query89.res,109984
query90.err,
query90.res,3859
query91.err,
query91.res,37692
query92.err,
query92.res,1
query93.err,
query93.res,797699
query94.err,
query94.res,21
query95.err,
query95.res,4
query96.err,
query96.res,57269
query97.err,
query97.res,83724
query98.err,
query98.res,2
query99.err,
query99.res,212144
